Manufacturer,Model Name,CPU,RAM, ssd, hdd,GPU,Operating System,Weight,Price (Euros)
Apple,MacBook Pro,Intel Core i5 2.3GHz,8GB,128, ,Intel Iris Plus Graphics 640,macOS,1.37kg,"133969"
Apple,Macbook Air,Intel Core i5 1.8GHz,8GB,128, ,Intel HD Graphics 6000,macOS,1.34kg,"89894"
HP,250 G6,Intel Core i5 7200U 2.5GHz,8GB,256, ,Intel HD Graphics 620,No OS,1.86kg,"57500"
Apple,MacBook Pro, Intel Core i7 2.7GHz,16GB,512, ,AMD Radeon Pro 455,macOS,1.83kg,"253745"
Apple,MacBook Pro, Intel Core i5 3.1GHz,8GB,256, ,Intel Iris Plus Graphics 650,macOS,1.37kg,"180360"
Acer,Aspire 3,AMD A9-Series 9420 3GHz,4GB, ,500,AMD Radeon R5,Windows,2.1kg,"40000"
Apple,MacBook Pro, Intel Core i7 2.2GHz,16GB, ,256,Intel Iris Pro Graphics,Mac OS,2.04kg,"213997"
Apple,Macbook Air,Intel Core i5 1.8GHz,8GB,256, ,Intel HD Graphics 6000,macOS,1.34kg,"115870"
Asus,ZenBook UX430UN,Intel Core i7 8550U 1.8GHz,16GB,512, ,Nvidia GeForce MX150,Windows,1.3kg,"149500"
Acer,Swift 3,Intel Core i5 8250U 1.6GHz,8GB,256, ,Intel UHD Graphics 620,Windows,1.6kg,"77000"
HP,250 G6,Intel Core i5 7200U 2.5GHz,4GB, ,500,Intel HD Graphics 620,No OS,1.86kg,"39390"
HP,250 G6,Intel Core i3 6006U 2GHz,4GB, ,500,Intel HD Graphics 520,No OS,1.86kg,"34499"
Apple,MacBook Pro, Intel Core i7 2.8GHz,16GB,256, ,AMD Radeon Pro 555,macOS,1.83kg,"243997"
Dell,Inspiron 3567,Intel Core i3 6006U 2GHz,4GB,256, ,AMD Radeon R5 M430,Windows,2.2kg,"49890"
Apple,MacBook 12,Intel Core M m3 1.2GHz,8GB,256, ,Intel HD Graphics 615,macOS,0.92kg,"126240"
Apple,MacBook Pro, Intel Core i5 2.3GHz,8GB,256, ,Intel Iris Plus Graphics 640,macOS,1.37kg,"151855"
Dell,Inspiron 3567,Intel Core i7 7500U 2.7GHz,8GB,256, ,AMD Radeon R5 M430,Windows,2.2kg,"74500"
Apple,MacBook Pro, Intel Core i7 2.9GHz,16GB,512, ,AMD Radeon Pro 560,macOS,1.83kg,"285800"
Lenovo,IdeaPad 320-15IKB,Intel Core i3 7100U 2.4GHz,8GB, ,1000,Nvidia GeForce 940MX,No OS,2.2kg,"49900"